"Year" "Month" "County" "Count"
2004 1 "Alameda" 46
2004 2 "Alameda" 37
2004 3 "Alameda" 51
2004 4 "Alameda" 46
2004 5 "Alameda" 38
2004 6 "Alameda" 31
2004 7 "Alameda" 25
2004 8 "Alameda" 30
2004 9 "Alameda" 34
2004 10 "Alameda" 36
2004 11 "Alameda" 29
2004 12 "Alameda" 37
2004 1 "Los Angeles" 331
2004 2 "Los Angeles" 306
2004 3 "Los Angeles" 250
2004 4 "Los Angeles" 253
2004 5 "Los Angeles" 249
2004 6 "Los Angeles" 183
2004 7 "Los Angeles" 169
2004 8 "Los Angeles" 201
2004 9 "Los Angeles" 206
2004 10 "Los Angeles" 204
2004 11 "Los Angeles" 227
2004 12 "Los Angeles" 247
2004 1 "Orange" 110
2004 2 "Orange" 70
2004 3 "Orange" 91
2004 4 "Orange" 78
2004 5 "Orange" 72
2004 6 "Orange" 57
2004 7 "Orange" 55
2004 8 "Orange" 60
2004 9 "Orange" 70
2004 10 "Orange" 50
2004 11 "Orange" 73
2004 12 "Orange" 80
2004 1 "Riverside" 100
2004 2 "Riverside" 100
2004 3 "Riverside" 88
2004 4 "Riverside" 78
2004 5 "Riverside" 65
2004 6 "Riverside" 60
2004 7 "Riverside" 72
2004 8 "Riverside" 60
2004 9 "Riverside" 58
2004 10 "Riverside" 62
2004 11 "Riverside" 65
2004 12 "Riverside" 94
2004 1 "Sacramento" 58
2004 2 "Sacramento" 72
2004 3 "Sacramento" 64
2004 4 "Sacramento" 43
2004 5 "Sacramento" 38
2004 6 "Sacramento" 38
2004 7 "Sacramento" 39
2004 8 "Sacramento" 53
2004 9 "Sacramento" 44
2004 10 "Sacramento" 45
2004 11 "Sacramento" 37
2004 12 "Sacramento" 59
2004 1 "San Bernardino" 129
2004 2 "San Bernardino" 77
2004 3 "San Bernardino" 84
2004 4 "San Bernardino" 80
2004 5 "San Bernardino" 67
2004 6 "San Bernardino" 59
2004 7 "San Bernardino" 52
2004 8 "San Bernardino" 61
2004 9 "San Bernardino" 52
2004 10 "San Bernardino" 53
2004 11 "San Bernardino" 71
2004 12 "San Bernardino" 74
2004 1 "San Diego" 149
2004 2 "San Diego" 113
2004 3 "San Diego" 116
2004 4 "San Diego" 99
2004 5 "San Diego" 73
2004 6 "San Diego" 67
2004 7 "San Diego" 67
2004 8 "San Diego" 72
2004 9 "San Diego" 57
2004 10 "San Diego" 70
2004 11 "San Diego" 85
2004 12 "San Diego" 104
2004 1 "Santa Clara" 44
2004 2 "Santa Clara" 47
2004 3 "Santa Clara" 40
2004 4 "Santa Clara" 43
2004 5 "Santa Clara" 28
2004 6 "Santa Clara" 30
2004 7 "Santa Clara" 19
2004 8 "Santa Clara" 46
2004 9 "Santa Clara" 28
2004 10 "Santa Clara" 40
2004 11 "Santa Clara" 29
2004 12 "Santa Clara" 44
2005 1 "Alameda" 56
2005 2 "Alameda" 45
2005 3 "Alameda" 35
2005 4 "Alameda" 38
2005 5 "Alameda" 37
2005 6 "Alameda" 43
2005 7 "Alameda" 33
2005 8 "Alameda" 28
2005 9 "Alameda" 26
2005 10 "Alameda" 33
2005 11 "Alameda" 33
2005 12 "Alameda" 49
2005 1 "Los Angeles" 281
2005 2 "Los Angeles" 288
2005 3 "Los Angeles" 280
2005 4 "Los Angeles" 242
2005 5 "Los Angeles" 269
2005 6 "Los Angeles" 213
2005 7 "Los Angeles" 211
2005 8 "Los Angeles" 204
2005 9 "Los Angeles" 176
2005 10 "Los Angeles" 215
2005 11 "Los Angeles" 232
2005 12 "Los Angeles" 382
2005 1 "Orange" 112
2005 2 "Orange" 88
2005 3 "Orange" 79
2005 4 "Orange" 79
2005 5 "Orange" 73
2005 6 "Orange" 71
2005 7 "Orange" 59
2005 8 "Orange" 62
2005 9 "Orange" 68
