"Year" "Month" "County" "Pollutant" "P_Mean" "Count"
"2004" "1" "Los Angeles" "PM10 Total 0-10um STP" 25.2 331
"2004" "2" "Los Angeles" "PM10 Total 0-10um STP" 16.35 306
"2004" "3" "Los Angeles" "PM10 Total 0-10um STP" 33.6478873239437 250
"2004" "4" "Los Angeles" "PM10 Total 0-10um STP" 32.5441176470588 253
"2004" "5" "Los Angeles" "PM10 Total 0-10um STP" 32.0882352941176 249
"2004" "6" "Los Angeles" "PM10 Total 0-10um STP" 33.2121212121212 183
"2004" "7" "Los Angeles" "PM10 Total 0-10um STP" 29.7826086956522 169
"2004" "8" "Los Angeles" "PM10 Total 0-10um STP" 30.4810126582278 201
"2004" "9" "Los Angeles" "PM10 Total 0-10um STP" 33.9 206
"2004" "10" "Los Angeles" "PM10 Total 0-10um STP" 30.030303030303 204
"2004" "11" "Los Angeles" "PM10 Total 0-10um STP" 24.7272727272727 227
"2004" "12" "Los Angeles" "PM10 Total 0-10um STP" 20.5223880597015 247
"2005" "1" "Los Angeles" "PM10 Total 0-10um STP" 18.1142857142857 281
"2005" "2" "Los Angeles" "PM10 Total 0-10um STP" 15.7076923076923 288
"2005" "3" "Los Angeles" "PM10 Total 0-10um STP" 22.0597014925373 280
"2005" "4" "Los Angeles" "PM10 Total 0-10um STP" 23.4347826086957 242
"2005" "5" "Los Angeles" "PM10 Total 0-10um STP" 26.4366197183099 269
"2005" "6" "Los Angeles" "PM10 Total 0-10um STP" 27.3571428571429 213
"2005" "7" "Los Angeles" "PM10 Total 0-10um STP" 33.3283582089552 211
"2005" "8" "Los Angeles" "PM10 Total 0-10um STP" 31.8591549295775 204
"2005" "9" "Los Angeles" "PM10 Total 0-10um STP" 33.6231884057971 176
"2005" "10" "Los Angeles" "PM10 Total 0-10um STP" 29.1282051282051 215
"2005" "11" "Los Angeles" "PM10 Total 0-10um STP" 33.3809523809524 232
"2005" "12" "Los Angeles" "PM10 Total 0-10um STP" 28.536231884058 382
"2006" "1" "Los Angeles" "PM10 Total 0-10um STP" 25.1549295774648 345
"2006" "2" "Los Angeles" "PM10 Total 0-10um STP" 27.3787878787879 266
"2006" "3" "Los Angeles" "PM10 Total 0-10um STP" 14.8591549295775 280
"2006" "4" "Los Angeles" "PM10 Total 0-10um STP" 16.3880597014925 258
"2006" "5" "Los Angeles" "PM10 Total 0-10um STP" 32.4788732394366 240
"2006" "6" "Los Angeles" "PM10 Total 0-10um STP" 32.3188405797101 202
"2006" "7" "Los Angeles" "PM10 Total 0-10um STP" 32.7794117647059 244
"2006" "8" "Los Angeles" "PM10 Total 0-10um STP" 29.9264705882353 186
"2006" "9" "Los Angeles" "PM10 Total 0-10um STP" 35.015625 202
"2006" "10" "Los Angeles" "PM10 Total 0-10um STP" 27.3030303030303 188
"2006" "11" "Los Angeles" "PM10 Total 0-10um STP" 28.7076923076923 219
"2006" "12" "Los Angeles" "PM10 Total 0-10um STP" 29.6315789473684 258
"2007" "1" "Los Angeles" "PM10 Total 0-10um STP" 28.3898305084746 258
"2007" "2" "Los Angeles" "PM10 Total 0-10um STP" 16.8947368421053 286
"2007" "3" "Los Angeles" "PM10 Total 0-10um STP" 28.7209302325581 297
"2007" "4" "Los Angeles" "PM10 Total 0-10um STP" 52.5 245
"2007" "5" "Los Angeles" "PM10 Total 0-10um STP" 31.5675675675676 227
"2007" "6" "Los Angeles" "PM10 Total 0-10um STP" 32.0566037735849 225
"2007" "7" "Los Angeles" "PM10 Total 0-10um STP" 32.5593220338983 210
"2007" "8" "Los Angeles" "PM10 Total 0-10um STP" 31.7931034482759 200
"2007" "9" "Los Angeles" "PM10 Total 0-10um STP" 26.8974358974359 204
"2007" "10" "Los Angeles" "PM10 Total 0-10um STP" 45.8055555555556 213
"2007" "11" "Los Angeles" "PM10 Total 0-10um STP" 35.3387096774194 215
"2007" "12" "Los Angeles" "PM10 Total 0-10um STP" 20.3802816901408 230
"2008" "1" "Los Angeles" "PM10 Total 0-10um STP" 18.5053191489362 326
"2008" "2" "Los Angeles" "PM10 Total 0-10um STP" 22.1988636363636 357
"2008" "3" "Los Angeles" "PM10 Total 0-10um STP" 27.8855721393035 317
"2008" "4" "Los Angeles" "PM10 Total 0-10um STP" 32.4224598930481 286
"2008" "5" "Los Angeles" "PM10 Total 0-10um STP" 33.3297872340426 257
"2008" "6" "Los Angeles" "PM10 Total 0-10um STP" 38.9883720930233 241
"2008" "7" "Los Angeles" "PM10 Total 0-10um STP" 35.9728260869565 229
"2008" "8" "Los Angeles" "PM10 Total 0-10um STP" 30.9259259259259 220
"2008" "9" "Los Angeles" "PM10 Total 0-10um STP" 31.7898089171975 192
"2008" "10" "Los Angeles" "PM10 Total 0-10um STP" 37.8515625 198
"2008" "11" "Los Angeles" "PM10 Total 0-10um STP" 32.0551181102362 220
"2008" "12" "Los Angeles" "PM10 Total 0-10um STP" 24.5483870967742 239
"2009" "1" "Los Angeles" "PM10 Total 0-10um STP" 27.9390243902439 280
"2009" "2" "Los Angeles" "PM10 Total 0-10um STP" 17.5663716814159 283
"2009" "3" "Los Angeles" "PM10 Total 0-10um STP" 27.864 291
"2009" "4" "Los Angeles" "PM10 Total 0-10um STP" 30.7450980392157 270
"2009" "5" "Los Angeles" "PM10 Total 0-10um STP" 33.0441176470588 257
"2009" "6" "Los Angeles" "PM10 Total 0-10um STP" 23.244094488189 261
"2009" "7" "Los Angeles" "PM10 Total 0-10um STP" 31.6015625 226
"2009" "8" "Los Angeles" "PM10 Total 0-10um STP" 33.9770992366412 216
"2009" "9" "Los Angeles" "PM10 Total 0-10um STP" 36.7686567164179 196
"2009" "10" "Los Angeles" "PM10 Total 0-10um STP" 35.248322147651 286
"2009" "11" "Los Angeles" "PM10 Total 0-10um STP" 31.5135135135135 254
"2009" "12" "Los Angeles" "PM10 Total 0-10um STP" 24.0755813953488 263
"2010" "1" "Los Angeles" "PM10 Total 0-10um STP" 21.271186440678 273
"2010" "2" "Los Angeles" "PM10 Total 0-10um STP" 18.7118644067797 262
"2010" "3" "Los Angeles" "PM10 Total 0-10um STP" 23.0621468926554 291
"2010" "4" "Los Angeles" "PM10 Total 0-10um STP" 21.2283464566929 244
"2010" "5" "Los Angeles" "PM10 Total 0-10um STP" 26.5 253
"2010" "6" "Los Angeles" "PM10 Total 0-10um STP" 29.8963414634146 179
"2010" "7" "Los Angeles" "PM10 Total 0-10um STP" 28.7286432160804 206
"2010" "8" "Los Angeles" "PM10 Total 0-10um STP" 30.037037037037 226
"2010" "9" "Los Angeles" "PM10 Total 0-10um STP" 29.9637305699482 218
"2010" "10" "Los Angeles" "PM10 Total 0-10um STP" 21.1451612903226 190
"2010" "11" "Los Angeles" "PM10 Total 0-10um STP" 20.0213903743315 230
"2010" "12" "Los Angeles" "PM10 Total 0-10um STP" 20.8343949044586 231
"2011" "1" "Los Angeles" "PM10 Total 0-10um STP" 24.1444444444444 304
"2011" "2" "Los Angeles" "PM10 Total 0-10um STP" 19.9825581395349 282
"2011" "3" "Los Angeles" "PM10 Total 0-10um STP" 19.3915662650602 336
"2011" "4" "Los Angeles" "PM10 Total 0-10um STP" 25.0572916666667 307
"2011" "5" "Los Angeles" "PM10 Total 0-10um STP" 25.8983957219251 254
"2011" "6" "Los Angeles" "PM10 Total 0-10um STP" 26.5317919075144 223
"2011" "7" "Los Angeles" "PM10 Total 0-10um STP" 30.0366492146597 229
"2011" "8" "Los Angeles" "PM10 Total 0-10um STP" 31.5233160621762 227
"2011" "9" "Los Angeles" "PM10 Total 0-10um STP" 32.0909090909091 175
"2011" "10" "Los Angeles" "PM10 Total 0-10um STP" 27.6234567901235 237
"2011" "11" "Los Angeles" "PM10 Total 0-10um STP" 22.9166666666667 227
"2011" "12" "Los Angeles" "PM10 Total 0-10um STP" 28.4550898203593 281
"2012" "1" "Los Angeles" "PM10 Total 0-10um STP" 24.9636363636364 258
"2012" "2" "Los Angeles" "PM10 Total 0-10um STP" 19.8129032258065 271
"2012" "3" "Los Angeles" "PM10 Total 0-10um STP" 21.4295302013423 291
"2012" "4" "Los Angeles" "PM10 Total 0-10um STP" 24.064 273
"2012" "5" "Los Angeles" "PM10 Total 0-10um STP" 33.0078125 230
"2012" "6" "Los Angeles" "PM10 Total 0-10um STP" 30.5116279069767 197
"2012" "7" "Los Angeles" "PM10 Total 0-10um STP" 28.1 225
"2012" "8" "Los Angeles" "PM10 Total 0-10um STP" 32.1870503597122 185
"2012" "9" "Los Angeles" "PM10 Total 0-10um STP" 31.08 193
"2012" "10" "Los Angeles" "PM10 Total 0-10um STP" 26.9698795180723 198
"2012" "11" "Los Angeles" "PM10 Total 0-10um STP" 23.8930817610063 220
"2012" "12" "Los Angeles" "PM10 Total 0-10um STP" 20.1975308641975 253
"2013" "1" "Los Angeles" "PM10 Total 0-10um STP" 21.6623376623377 360
"2013" "2" "Los Angeles" "PM10 Total 0-10um STP" 22.5103448275862 351
"2013" "3" "Los Angeles" "PM10 Total 0-10um STP" 26.5096774193548 284
"2013" "4" "Los Angeles" "PM10 Total 0-10um STP" 28.9934640522876 264
"2013" "5" "Los Angeles" "PM10 Total 0-10um STP" 33.9203539823009 215
