"Year" "county" "Month" "urban_pop"
2004 "001" 1 1439912
2004 "001" 2 1440721
2004 "001" 3 1441567
2004 "001" 4 1442655
2004 "001" 5 1443849
2004 "001" 6 1444943
2004 "001" 7 1446096
2004 "001" 8 1447342
2004 "001" 9 1448584
2004 "001" 10 1449889
2004 "001" 11 1451016
2004 "001" 12 1452072
2004 "037" 1 9753918
2004 "037" 2 9759395
2004 "037" 3 9765127
2004 "037" 4 9772498
2004 "037" 5 9780582
2004 "037" 6 9787993
2004 "037" 7 9795808
2004 "037" 8 9804245
2004 "037" 9 9812660
2004 "037" 10 9821503
2004 "037" 11 9829134
2004 "037" 12 9836287
2004 "059" 1 2929892
2004 "059" 2 2931537
2004 "059" 3 2933259
2004 "059" 4 2935473
2004 "059" 5 2937901
2004 "059" 6 2940128
2004 "059" 7 2942475
2004 "059" 8 2945009
2004 "059" 9 2947537
2004 "059" 10 2950193
2004 "059" 11 2952486
2004 "059" 12 2954634
2004 "065" 1 1849083
2004 "065" 2 1850121
2004 "065" 3 1851208
2004 "065" 4 1852605
2004 "065" 5 1854138
2004 "065" 6 1855543
2004 "065" 7 1857024
2004 "065" 8 1858623
2004 "065" 9 1860219
2004 "065" 10 1861895
2004 "065" 11 1863342
2004 "065" 12 1864698
2004 "067" 1 1343512
2004 "067" 2 1344267
2004 "067" 3 1345056
2004 "067" 4 1346071
2004 "067" 5 1347185
2004 "067" 6 1348206
2004 "067" 7 1349282
2004 "067" 8 1350444
2004 "067" 9 1351603
2004 "067" 10 1352821
2004 "067" 11 1353872
2004 "067" 12 1354858
2004 "071" 1 1891435
2004 "071" 2 1892497
2004 "071" 3 1893609
2004 "071" 4 1895038
2004 "071" 5 1896606
2004 "071" 6 1898043
2004 "071" 7 1899558
2004 "071" 8 1901194
2004 "071" 9 1902826
2004 "071" 10 1904541
2004 "071" 11 1906021
2004 "071" 12 1907408
2004 "073" 1 2918235
2004 "073" 2 2919874
2004 "073" 3 2921589
2004 "073" 4 2923794
2004 "073" 5 2926213
2004 "073" 6 2928430
2004 "073" 7 2930768
2004 "073" 8 2933292
2004 "073" 9 2935810
2004 "073" 10 2938456
2004 "073" 11 2940739
2004 "073" 12 2942879
2004 "085" 1 1656485
2004 "085" 2 1657415
2004 "085" 3 1658388
2004 "085" 4 1659640
2004 "085" 5 1661013
2004 "085" 6 1662272
2004 "085" 7 1663599
2004 "085" 8 1665032
2004 "085" 9 1666461
2004 "085" 10 1667963
2004 "085" 11 1669258
2004 "085" 12 1670473
2005 "001" 1 1435692
2005 "001" 2 1436423
2005 "001" 3 1437293
2005 "001" 4 1438394
2005 "001" 5 1439598
2005 "001" 6 1440728
2005 "001" 7 1441967
2005 "001" 8 1443212
2005 "001" 9 1444522
2005 "001" 10 1445823
